Domestic Exports | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,291,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
FAS Value,Canada,60,KNITTED OR CROCHETED FABRICS,"33,848,584","33,512,230","28,557,517","22,151,138","20,990,984"
FAS Value,Canada,74,COPPER AND ARTICLES THEREOF,"1,890,956,170","1,725,308,757","1,734,118,899","1,350,366,553","1,599,151,109"
FAS Value,Canada,29,ORGANIC CHEMICALS,"3,425,897,833","4,033,671,296","3,284,843,278","2,477,536,921","2,508,469,451"
FAS Value,Canada,30,PHARMACEUTICAL PRODUCTS,"6,778,365,822","5,696,635,117","4,623,547,779","3,313,967,960","3,828,770,881"
FAS Value,Mexico,06,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","91,367,002","113,641,515","111,948,209","43,178,258","49,796,628"
FAS Value,Mexico,75,NICKEL AND ARTICLES THEREOF,"213,223,104","308,788,329","382,945,887","283,187,545","303,897,228"
FAS Value,Canada,31,FERTILIZERS,"1,360,541,835","2,237,929,950","1,823,784,444","1,297,589,649","1,215,967,056"
FAS Value,China,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS,"609,180,506","545,599,675","495,424,109","373,032,724","403,384,988"
FAS Value,Canada,34,"SOAP ETC.; LUBRICATING PRODUCTS; WAXES, POLISHING OR SCOURING PRODUCTS; CANDLES ETC., MODELING PASTES; DENTAL WAXES AND DENTAL PLASTER PREPARATIONS","2,362,427,193","2,749,334,287","2,796,640,878","2,050,269,508","2,234,667,186"
FAS Value,Mexico,78,LEAD AND ARTICLES THEREOF,"31,204,317","43,454,246","45,721,952","37,986,400","34,689,264"
FAS Value,Mexico,65,HEADGEAR AND PARTS THEREOF,"34,792,849","38,752,189","33,090,558","24,274,164","29,405,251"
FAS Value,China,80,TIN AND ARTICLES THEREOF,"10,204,690","12,383,132","5,385,244","3,889,779","10,409,235"
FAS Value,Canada,26,"ORES, SLAG AND ASH","2,447,193,816","2,560,938,430","2,468,830,601","1,843,490,279","1,575,465,625"
FAS Value,Mexico,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED","273,645,554","335,622,409","235,075,520","154,095,266","152,736,932"
