Trade Balance | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,294,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
Dom. Exports FAS-Imports for Consumption Value,Mexico,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS, OR OTHER PARTS OF PLANTS","-996,244,872","-1,280,105,514","-1,303,073,337","-968,655,140","-1,112,398,105"
Dom. Exports FAS-Imports for Consumption Value,Mexico,71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMIPRECIOUS STONES, PRECIOUS METALS; PRECIOUS METAL CLAD METALS, ARTICLES THEREOF; IMITATION JEWELRY; COIN","-5,421,580,127","-4,520,515,318","-4,879,713,917","-3,557,558,759","-3,609,792,586"
Dom. Exports FAS-Imports for Consumption Value,Canada,87,"VEHICLES, OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF","5,526,675,847","9,816,952,813","-1,275,433,650","724,713,062","2,278,416,185"
Dom. Exports FAS-Imports for Consumption Value,Mexico,82,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL","21,273,265","86,829,458","184,903,005","136,442,483","90,394,265"
Dom. Exports FAS-Imports for Consumption Value,China,87,"VEHICLES, OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF","-6,918,361,846","-10,059,496,494","-7,178,907,678","-5,440,353,939","-7,069,306,922"
Dom. Exports FAS-Imports for Consumption Value,Mexico,08,EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS,"-8,375,413,914","-9,068,014,841","-9,416,926,453","-7,425,828,720","-7,238,515,320"
Dom. Exports FAS-Imports for Consumption Value,China,54,"MANMADE FILAMENTS, INCLUDING YARNS AND WOVEN FABRICS THEREOF","-220,333,906","-227,365,037","-123,312,127","-101,368,257","-97,501,383"
Dom. Exports FAS-Imports for Consumption Value,China,81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,"-157,560,866","-374,869,501","-369,326,629","-312,499,871","-384,444,267"
Dom. Exports FAS-Imports for Consumption Value,China,50,"SILK, INCLUDING YARNS AND WOVEN FABRICS THEREOF","-9,340,744","-16,456,226","-11,820,945","-8,986,349","-11,267,799"
Dom. Exports FAS-Imports for Consumption Value,Canada,17,SUGARS AND SUGAR CONFECTIONERY,"-345,205,601","-384,504,546","-398,684,984","-271,989,535","-298,197,539"
Dom. Exports FAS-Imports for Consumption Value,China,14,"VEGETABLE PLAITING MATERIALS AND VEGETABLE PRODUCTS, NESOI","-14,607,550","-20,767,088","-15,206,368","-11,364,271","-13,219,222"
Dom. Exports FAS-Imports for Consumption Value,China,16,"EDIBLE PREPARATIONS OF MEAT, FISH, CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES","-317,895,020","-258,575,243","-180,670,140","-141,648,307","-55,791,857"
Dom. Exports FAS-Imports for Consumption Value,China,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES","14,361,392,804","12,113,061,715","15,542,674,610","11,882,677,816","9,711,549,401"
Dom. Exports FAS-Imports for Consumption Value,Canada,91,CLOCKS AND WATCHES AND PARTS THEREOF,"36,995,333","34,818,055","30,835,280","23,489,627","9,155,641"
Dom. Exports FAS-Imports for Consumption Value,China,98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI","-4,184,532,726","-3,679,053,401","-3,059,166,518","-2,317,092,462","-3,092,015,802"
Dom. Exports FAS-Imports for Consumption Value,Canada,89,"SHIPS, BOATS AND FLOATING STRUCTURES","575,272,862","700,178,984","576,818,783","510,744,761","278,794,922"
Dom. Exports FAS-Imports for Consumption Value,China,72,IRON AND STEEL,"-180,331,904","-626,470,653","-262,508,679","-238,882,095","-137,868,525"
Dom. Exports FAS-Imports for Consumption Value,China,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK, TRACK FIXTURES AND FITTINGS, AND PARTS THEREOF; MECHANICAL ETC. TRAFFIC SIGNAL EQUIPMENT OF ALL KINDS","-765,141,616","-1,359,154,103","-826,421,425","-707,811,668","-469,086,474"
Dom. Exports FAS-Imports for Consumption Value,China,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI","480,710,691","524,500,052","336,773,497","258,140,959","214,810,547"
Dom. Exports FAS-Imports for Consumption Value,Mexico,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK, TRACK FIXTURES AND FITTINGS, AND PARTS THEREOF; MECHANICAL ETC. TRAFFIC SIGNAL EQUIPMENT OF ALL KINDS","559,052,643","797,768,433","727,817,119","553,209,050","662,715,409"
Dom. Exports FAS-Imports for Consumption Value,China,40,RUBBER AND ARTICLES THEREOF,"-4,912,879,402","-2,906,292,005","-2,141,964,602","-1,590,009,335","-1,580,474,608"
Dom. Exports FAS-Imports for Consumption Value,China,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; BAKERS' WARES","-166,605,961","-208,459,814","-184,715,235","-137,647,978","-157,548,845"
Dom. Exports FAS-Imports for Consumption Value,Mexico,74,COPPER AND ARTICLES THEREOF,"685,986,323","756,040,242","1,506,242,778","1,132,389,945","1,307,139,149"
Dom. Exports FAS-Imports for Consumption Value,Mexico,39,PLASTICS AND ARTICLES THEREOF,"10,375,389,799","10,529,826,936","10,988,144,876","8,340,543,560","8,670,462,377"
Dom. Exports FAS-Imports for Consumption Value,Mexico,55,"MANMADE STAPLE FIBERS, INCLUDING YARNS AND WOVEN FABRICS THEREOF","303,852,669","313,685,903","259,484,908","207,849,149","208,664,905"
Dom. Exports FAS-Imports for Consumption Value,China,56,"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF","-610,915,611","-424,327,920","-328,622,918","-232,281,342","-361,702,552"
Dom. Exports FAS-Imports for Consumption Value,China,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","-93,040,117,854","-90,518,672,949","-69,834,515,363","-53,867,213,601","-50,920,278,625"
