Imports For Consumption | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,294,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
Customs Value,Canada,32,"TANNING OR DYEING EXTRACTS; TANNINS AND DERIVATIVES; DYES, PIGMENTS AND OTHER COLORING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS","1,043,589,557","1,200,351,658","1,145,774,774","879,635,032","855,057,822"
Customs Value,Canada,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS, OR OTHER PARTS OF PLANTS","1,999,580,606","2,370,825,180","2,670,320,446","2,007,401,462","2,190,859,943"
Customs Value,Mexico,02,MEAT AND EDIBLE MEAT OFFAL,"2,097,541,247","2,125,674,759","1,989,570,151","1,520,995,982","1,546,263,427"
Customs Value,Canada,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES SUITABLE FOR INDUSTRIAL USE","350,251,232","358,468,983","404,805,953","300,486,143","255,140,003"
Customs Value,Canada,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; BAKERS' WARES","4,668,862,385","5,721,605,996","6,307,445,543","4,546,141,891","4,952,285,646"
Customs Value,Canada,22,"BEVERAGES, SPIRITS AND VINEGAR","1,267,431,048","1,320,669,670","1,463,813,676","1,098,573,244","1,181,626,822"
Customs Value,Mexico,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"93,986,117","81,482,235","76,201,911","55,892,855","50,037,525"
Customs Value,China,49,"PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRINTED PRODUCTS; MANUSCRIPTS, TYPESCRIPTS AND PLANS","2,288,960,033","2,401,515,332","1,863,114,464","1,408,673,675","1,650,552,630"
Customs Value,Mexico,60,KNITTED OR CROCHETED FABRICS,"25,622,224","31,898,249","37,268,219","28,153,754","37,536,108"
Customs Value,Canada,43,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF,"31,544,447","29,762,907","22,541,789","17,689,442","18,562,045"
Customs Value,Mexico,46,"MANUFACTURES OF STRAW, ESPARTO OR OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK","33,181,988","25,552,678","36,473,921","25,908,576","34,779,199"
Customs Value,China,95,"TOYS, GAMES AND SPORTS EQUIPMENT; PARTS AND ACCESSORIES THEREOF","37,174,742,261","39,498,694,660","31,563,122,882","23,401,603,189","20,937,555,835"
Customs Value,China,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF","13,140,475,221","13,315,969,236","11,261,414,402","8,453,584,719","8,679,706,772"
Customs Value,Canada,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF","3,861,716,759","4,384,473,433","4,553,527,937","3,380,778,522","3,462,126,510"
Customs Value,China,97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES","140,954,223","91,716,502","109,499,872","85,941,170","71,081,306"
Customs Value,China,46,"MANUFACTURES OF STRAW, ESPARTO OR OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK","313,481,865","282,412,938","160,279,287","123,890,982","111,456,163"
Customs Value,Canada,01,LIVE ANIMALS,"1,615,258,552","1,902,372,974","1,979,791,515","1,432,069,700","1,781,543,362"
Customs Value,Canada,14,"VEGETABLE PLAITING MATERIALS AND VEGETABLE PRODUCTS, NESOI","1,818,379","2,215,997","4,692,200","2,420,503","1,745,229"
Customs Value,Mexico,10,CEREALS,"14,498,852","19,169,039","16,499,170","10,832,787","17,095,434"
Customs Value,China,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED","8,373,703,071","9,341,540,782","7,409,962,279","5,872,390,611","5,649,976,777"
Customs Value,China,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY,"268,883,624","280,118,986","216,438,430","163,090,016","171,296,264"
Customs Value,Canada,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK, TRACK FIXTURES AND FITTINGS, AND PARTS THEREOF; MECHANICAL ETC. TRAFFIC SIGNAL EQUIPMENT OF ALL KINDS","397,485,357","522,640,811","738,608,471","533,158,034","464,510,490"
Customs Value,Canada,21,MISCELLANEOUS EDIBLE PREPARATIONS,"1,833,709,794","2,056,275,478","2,080,349,051","1,540,651,589","1,632,468,418"
Customs Value,Mexico,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","595,560,154","630,916,733","524,476,240","391,594,763","328,008,747"
Customs Value,Canada,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","22,829,640,484","27,315,846,486","31,683,631,166","24,001,203,426","22,647,467,494"
Customs Value,China,10,CEREALS,"25,622,111","34,732,542","45,879,212","31,324,923","43,484,800"
Customs Value,China,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES","11,122,809,432","13,628,505,936","9,653,107,593","7,646,254,140","7,602,536,620"
Customs Value,Mexico,11,MILLING INDUSTRY PRODUCTS; MALT; STARCHES; INULIN; WHEAT GLUTEN,"160,569,814","197,986,469","238,655,953","170,138,099","206,861,339"
Customs Value,Mexico,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI","133,737,136","219,289,491","218,201,603","162,421,309","175,240,394"
Customs Value,China,21,MISCELLANEOUS EDIBLE PREPARATIONS,"593,629,627","691,053,723","624,006,994","455,346,448","619,789,103"
Customs Value,Mexico,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","712,955,142","1,003,268,179","944,354,325","741,105,540","715,696,244"
Customs Value,China,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FEED,"315,545,500","344,960,989","199,481,372","143,748,851","188,508,227"
Customs Value,China,47,PULP OF WOOD OR OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER AND PAPERBOARD,"2,650,963","8,633,628","2,649,909","2,064,135","725,026"
Customs Value,Canada,78,LEAD AND ARTICLES THEREOF,"449,203,635","377,572,160","389,894,744","287,656,755","236,663,046"
Customs Value,Canada,05,"PRODUCTS OF ANIMAL ORIGIN, NESOI","160,110,031","171,796,640","149,121,212","110,386,865","125,525,133"
Customs Value,Canada,18,COCOA AND COCOA PREPARATIONS,"1,688,412,678","1,932,994,879","2,031,624,295","1,484,762,598","1,967,770,694"
Customs Value,Canada,71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMIPRECIOUS STONES, PRECIOUS METALS; PRECIOUS METAL CLAD METALS, ARTICLES THEREOF; IMITATION JEWELRY; COIN","8,332,805,470","7,436,648,486","13,119,311,267","10,428,644,436","5,466,696,012"
Customs Value,Mexico,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS","873,049,011","1,069,395,248","1,095,709,813","840,905,989","865,210,293"
Customs Value,Canada,95,"TOYS, GAMES AND SPORTS EQUIPMENT; PARTS AND ACCESSORIES THEREOF","423,335,757","450,921,760","395,218,825","292,941,617","284,123,883"
Customs Value,Canada,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS","1,133,322,737","1,142,910,897","1,205,720,369","925,889,816","917,984,108"
Customs Value,Canada,98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI","16,631,977,937","16,502,112,469","17,123,676,090","13,071,613,257","12,360,766,182"
Customs Value,China,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,"2,902,861,892","2,840,113,300","1,973,477,344","1,489,511,707","1,441,619,310"
Customs Value,Mexico,01,LIVE ANIMALS,"765,209,383","647,767,731","1,130,078,757","755,780,531","1,073,728,423"
Customs Value,China,17,SUGARS AND SUGAR CONFECTIONERY,"116,007,270","173,532,555","185,026,592","136,820,392","143,404,751"
